x,y,label1,label2,label3,task
-0.300324765,-1.142333322,-0.293564557,-2.183642864,0.455651512,0
-0.322284454,0.702791897,-1.546808548,-3.072737033,0.370023051,0
1.782684975,-0.13675132,-0.105589019,-0.275388978,0.696451811,0
-0.841066117,0.130677134,-0.880839252,-2.776121212,0.174551242,0
0.752820301,-1.435989232,-0.371033078,-1.278809677,0.595847076,0
-1.313786793,0.238499095,-2.177720299,-1.203923557,-0.798097814,0
-0.187230269,-1.69854704,-1.327187968,-0.885135515,0.822308851,0
1.14572358,-1.065115997,-0.127443918,-0.453674024,-0.983755136,0
-0.036309624,-1.480158662,-0.563076697,-1.211950566,-0.426241677,0
-1.566240961,-0.869269271,-2.637245068,-0.307691837,0.682688756,0
0.497250686,-1.488905583,-0.639655048,-1.328667092,0.984453862,0
-0.686274638,-0.511649331,-0.1282819,-2.552473047,-0.254663433,0
-0.173968833,0.712422008,-1.70230708,-2.658061423,-0.594264566,0
0.406912606,-1.548110514,-1.284961141,-0.628166249,1.29791507,0
-0.442150678,0.332171198,-0.446977496,-2.707150668,-1.18122992,0
-1.382068229,-0.466990813,-1.705182811,-1.590794599,0.209329157,0
-0.463119095,-0.083198646,-0.15119079,-2.356578311,-1.411740928,0
-1.072568438,-1.071032198,-1.332817033,-1.427668405,0.086455567,0
-0.321361197,-1.060190887,-0.286375905,-2.352827688,0.692994955,0
0.289491477,-1.807117998,-1.143347915,-0.273972041,-0.23211808,0
-0.411618607,0.618976645,-0.579549016,-3.117741813,-0.563147165,0
-0.333852905,0.87970603,-2.640777346,-2.660690562,1.016379177,0
-0.115941344,-1.545083382,-1.165849938,-1.252308665,1.192452468,0
-1.120906732,-0.842427898,-1.889874514,-1.562466065,1.421141483,0
-1.543619094,0.364081522,-2.944574104,-1.151844917,1.142124215,0
-0.493840579,0.532911354,-1.809456046,-2.078046904,-1.095589705,0
-0.910558946,0.676095724,-2.328912689,-2.31255852,0.857295179,0
-0.27841128,0.443888711,-0.474260141,-2.799894348,-1.34229853,0
-0.96956008,-1.107052565,-1.415285691,-0.839446445,-0.869399462,0
-1.769997627,0.25735089,-3.036963084,-0.093259728,-0.576508662,0
-1.35332145,-0.539960991,-1.701162472,-1.229090416,-0.470073112,0
-1.118401962,0.088572182,-1.505572348,-2.132462728,-0.01606543,0
-0.866056671,-0.812905839,-0.921822747,-2.199265382,0.621632742,0
0.041634271,0.805958788,-2.239793707,-2.946836123,0.38218822,0
-0.5244974,-1.411492146,-1.398989509,-0.222484224,-1.25749376,0
-0.679056731,-1.377877274,-1.809277803,-0.969618233,1.407251814,0
-1.004020893,-0.27542832,-1.516420016,-2.448373131,1.25432901,0
-1.018088144,-0.735239519,-1.049734542,-1.927557313,0.073994626,0
-1.035372682,-1.382711068,-2.368562359,-0.181716566,0.898472631,0
0.000256314,-1.401749907,-1.060273159,-0.116361922,-1.514244527,0
-1.514756541,-0.989655266,-2.38315369,-0.496254783,0.524619901,0
-1.36922182,0.352189345,-2.235562053,-1.727617437,0.374759635,0
-0.855118718,-0.093014837,-0.680989096,-2.532292016,-0.268762889,0
-0.769720962,0.866356044,-2.936433436,-2.176243068,1.41239625,0
